name,price,category,description
Widget Pro,29.99,Tools,Professional grade widget for serious work
Gadget Mini,19.99,Electronics,Compact gadget for everyday use
Super Tool,49.99,Tools,The ultimate tool for any job
Smart Device,99.99,Electronics,AI-powered smart home device
Basic Kit,9.99,Kits,Starter kit for beginners
Premium Widget,79.99,Tools,High-end widget with advanced features
Tech Gadget,59.99,Electronics,Latest technology in a compact package
Tool Set,39.99,Kits,Complete set of essential tools
Digital Widget,89.99,Electronics,Smart widget with digital display
Pro Kit,129.99,Kits,Professional kit with all accessories
